date,low,high,open,close,volume
2016-10-15 00:00:00,636,639.99,638.03,638.16,683.79807091999
2016-10-16 00:00:00,637.87,643.91,638.16,641.92,2544.92768739
2016-10-17 00:00:00,636.27,643.47,642.1,639.56,3950.2316708306
2016-10-18 00:00:00,632.15,640,639.56,635.11,4126.5759781905
2016-10-19 00:00:00,625.6,636.99,635.12,629.79,4465.1482883412
2016-10-20 00:00:00,626.01,629.99,629.79,628.05,4170.4662670308
2016-10-21 00:00:00,627.5,633.41,628.19,630.83,4162.7698504808
2016-10-22 00:00:00,629.32,658,630.67,652.75,4585.0845212006
2016-10-23 00:00:00,645.33,655.8,653.03,651.04,3075.7395670903
2016-10-24 00:00:00,645.81,652.93,651.05,649.98,3670.4614184809
2016-10-25 00:00:00,648.99,657.5,649.98,654.3,4814.888391721
2016-10-26 00:00:00,652.51,678,654.3,674,5843.1370655412
2016-10-27 00:00:00,673.54,692.41,674,691.21,6771.8537476802
2016-10-28 00:00:00,683.2,691.19,691.01,689.95,4409.9865400102
2016-10-29 00:00:00,689.39,725.64,689.95,714.28,6583.4989689203
2016-10-30 00:00:00,692.04,714.98,714.28,697.41,3799.5223560902
2016-10-31 00:00:00,681.01,709.68,697.39,696.9,4474.1485640303
2016-11-01 00:00:00,695.74,737.5,697.07,730.7,6909.1819656203
2016-11-02 00:00:00,720,744.6,730.7,744.6,5095.7508538004
2016-11-03 00:00:00,672.06,746.16,744.61,690,10331.349638331
2016-11-04 00:00:00,683.8,708.33,690,706.32,5229.2199460303
2016-11-05 00:00:00,697.72,707.99,706.05,706.99,2999.21458017
2016-11-06 00:00:00,705.86,719.83,706.98,717.02,3013.17627869
2016-11-07 00:00:00,701.35,717.32,717.04,706.42,4168.7873634203
2016-11-08 00:00:00,704.16,716.45,706.41,711.15,4358.9794828801
2016-11-09 00:00:00,710.05,747.26,711.3,720.97,12022.233209681
2016-11-10 00:00:00,705.84,723.61,721,712.91,4441.8839125603
2016-11-11 00:00:00,712.5,718.99,713,716.9,3363.9157749601
2016-11-12 00:00:00,702.42,716.99,716.56,704.53,3130.2205721302
2016-11-13 00:00:00,685.7,705.94,704.63,704.01,4207.7758680601
2016-11-14 00:00:00,695.07,708.57,704.01,708.32,4818.7533488099
2016-11-15 00:00:00,671.23,716.3,708.4,712.29,4793.8124835099
2016-11-16 00:00:00,710,743.8,711.92,739.85,6194.4582722302
2016-11-17 00:00:00,729.01,750.01,738.07,730.71,4171.45353425
2016-11-18 00:00:00,728.89,751,729.61,748.54,4633.6371455403
2016-11-19 00:00:00,738,752.3,748.55,750.77,2953.71110824
2016-11-20 00:00:00,715,753.81,750.77,731.99,4322.1250360301
2016-11-21 00:00:00,730,738.47,731.72,736.4,2984.9436579201
2016-11-22 00:00:00,726.38,748.77,736.39,746.66,4276.8415765003
2016-11-23 00:00:00,734,747.12,746.66,741.52,3626.9565213901
2016-11-24 00:00:00,727,743.99,741.51,737.99,3472.6009038001
2016-11-25 00:00:00,729,739.99,737.99,739.74,3157.8061066301
2016-11-26 00:00:00,726,739.98,739.51,735.7,2706.77529551
2016-11-27 00:00:00,728.01,737.95,735.69,729.24,2682.6616626401
2016-11-28 00:00:00,729,736.44,729.24,729.77,3864.8935908102
2016-11-29 00:00:00,728.2,734.36,730.18,732.37,3807.4625890601
2016-11-30 00:00:00,729.17,745,732.44,742.69,3949.9028758502
2016-12-01 00:00:00,741.59,754.9,742.51,754,4190.1899116501
2016-12-02 00:00:00,753.53,780,754,769.25,6041.0344526203
2016-12-03 00:00:00,759,771.92,769.78,766.98,3180.0820534201
2016-12-04 00:00:00,762.83,769.76,766.86,767.99,2759.9125704302
